X,Y,OBJECTID,c_ord,arro,qua,xbis,ybis,num,let,typ_voie,lib_voie,seq,sit,type,codact,ens,bio,surf,cc_id,cc_niv,niv47,niv18,niv8,niv2
651791.048600003,6862991.778,1,1311,1,2,651792.34559045,6862995.56188898,25,,RUE,LOUVRE,2,A,C,CB107,Y'S,0,1,0,,10301,103,3,1
652152.0612,6862579.4083,2,1464,1,2,652152.0612,6862579.4083,1,,RUE,PIERRE LESCOT,118,CC,C,CC301,ALAIN AFFLELOU,0,1,1,-3,10403,104,3,1
651430.135700002,6862713.5604,4,1623,1,3,651430.1357,6862713.5604,196,,RUE,SAINT HONORE,1,R,C,CH106,ENZA FAMIGLIA,0,1,0,,11101,111,5,1
651133.490999997,6862931.9801,6,2087,1,3,651130.05321416,6862939.20378524,7,,RUE,ARGENTEUIL,3,R,C,SA202,JULIE BEAUTE,0,1,0,,10802,108,4,1
651124.613200001,6863065.8926,7,2157,1,3,651124.6132,6863065.8926,20,,RUE,PYRAMIDES,1,A,C,CD201,HOME AUTOUR DU MONDE,0,1,0,,10502,105,3,1
651177.353600003,6863106.2211,8,2174,1,3,651177.3536,6863106.2211,22,,AV,OPERA,1,R,C,CB202,FINSBURY,0,1,0,,10302,103,3,1
651287.740900002,6862999.0954,10,2194,1,3,651287.7409,6862999.0954,15,,RUE,MOLIERE,1,R,C,SA102,DIAMANT COUTURE,0,1,0,,10801,108,4,1
651221.599100001,6863215.3956,11,2310,1,3,651221.5991,6863215.3956,51,,RUE,PETITS CHAMPS,1,A,C,CC301,LARRY OPTICIENS,0,1,0,,10403,104,3,1
650988.616499998,6862949.2381,12,2405,1,3,650988.6165,6862949.2381,16,,RUE,SAINT ROCH,1,R,C,CB105,CIFONELLI,0,1,0,,10301,103,3,1
650959.5176,6863140.338,14,2522,1,4,650959.5176,6863140.338,14,,RUE,MARCHE SAINT HONORE,1,A,C,CH106,NOMAD'S,0,1,0,,11101,111,5,1
651045.025200002,6863251.712,15,2556,1,4,651045.0252,6863251.712,12,,RUE,GOMBOUST,1,R,C,CH103,KOOK IL KWAN,0,1,0,,11101,111,5,1
650811.746600002,6863123.1424,16,2620,1,4,650811.7466,6863123.1424,350,,RUE,SAINT HONORE,1,R,C,CB104,MAJE,0,1,0,,10301,103,3,1
650701.2601,6863200.0288,17,3031,1,4,650701.2601,6863200.0288,362,,RUE,SAINT HONORE,1,R,C,CB301,DARY'S,0,1,0,,10303,103,3,1
650963.284599997,6863510.1574,18,3182,2,5,650963.2846,6863510.1574,17,,RUE,PAIX,1,A,C,CB302,POIRAY,0,1,0,,10303,103,3,1
650988.853699997,6863504.1006,19,3216,2,5,650988.8537,6863504.1006,20,,RUE,PAIX,1,R,C,CB302,KORLOFF,0,1,0,,10303,103,3,1
650899.884800002,6863344.5707,20,3234,2,5,650903.24214165,6863342.39624443,30,,RUE,DANIELLE CASANOVA,2,R,C,CB302,FRERET ET ROY,0,1,0,,10303,103,3,1
651189.010499999,6863519.1839,22,3356,2,5,651185.16777073,6863520.29449972,29,,RUE,QUATRE SEPTEMBRE,2,R,C,CA111,LIQUOR’S,0,1,0,,10201,102,2,1
651119.567100003,6863453.2646,23,3360,2,5,651119.5671,6863453.2646,19,,RUE,ANTIN,1,R,C,CH103,GATT,0,1,0,,11101,111,5,1
651162.478399999,6863370.0445,25,3523,2,5,651161.13199108,6863366.27791228,14,,RUE,GAILLON,2,R,C,SA505,HIS,0,1,0,,10805,108,4,1
651239.360200003,6863223.7593,26,3551,2,5,651239.3602,6863223.7593,38,,RUE,PETITS CHAMPS,1,R,C,CH101,LA BELLE EPOQUE,0,1,0,,11101,111,5,1
651389.410899997,6863403.6974,27,3735,2,6,651389.4109,6863403.6974,9,,RUE,SAINT AUGUSTIN,1,R,C,CH108,RANI MAHAL,0,1,0,,11101,111,5,1
651474.817699999,6863422.3695,28,3760,2,6,651476.08029625,6863426.16500401,77,,RUE,RICHELIEU,2,R,C,CE301,JEAN VINCHON NUMISMATIQUE,0,1,0,,10603,106,3,1
651598.756899998,6863578.2671,30,4067,2,6,651594.80114665,6863578.86040887,19,,RUE,SAINT MARC,2,R,C,CD203,CAT'LAINE,0,1,0,,10502,105,3,1
651466.166699998,6863356.7635,32,4225,2,6,651464.85716869,6863352.98393286,60,,RUE,RICHELIEU,2,R,C,CB304,ATELIER PAULIN,0,1,0,,10303,103,3,1
651642.219999999,6863108.3243,33,4242,2,6,651642.22,6863108.3243,6,B,RUE,PETITS PERES,1,R,C,CA106,DAMMANN FRERES,0,1,0,,10201,102,2,1
