Trimestre;arrondissement;prix_m2
T4 2025;1;12100
T3 2025;1;12020
T2 2025;1;11830
T1 2025;1;12740
T4 2024;1;12180
T3 2024;1;12960
T2 2024;1;13570
T1 2024;1;13110
T4 2023;1;13550
T3 2023;1;13790
T2 2023;1;13190
T1 2023;1;14140
T4 2022;1;14770
T3 2022;1;13650
T2 2022;1;13870
T1 2022;1;13240
T4 2021;1;13650
T3 2021;1;13080
T2 2021;1;14330
T1 2021;1;13530
T4 2020;1;13250
T3 2020;1;14110
T2 2020;1;12920
T1 2020;1;12920
T4 2019;1;13400
T3 2019;1;12660
T2 2019;1;12490
T1 2019;1;11970
T4 2018;1;12050
T3 2018;1;12780
T2 2018;1;12270
T1 2018;1;12050
T4 2017;1;11560
T3 2017;1;11380
T2 2017;1;11060
T1 2017;1;11410
T4 2016;1;10250
T3 2016;1;10860
T2 2016;1;10630
T1 2016;1;10390
T4 2015;1;11030
T3 2015;1;10500
T2 2015;1;9870
T1 2015;1;9910
T4 2014;1;10690
T3 2014;1;10060
T2 2014;1;10640
T1 2014;1;9820
T4 2013;1;10280
T3 2013;1;10130
T2 2013;1;9870
T1 2013;1;11130
T4 2012;1;10560
T3 2012;1;10860
T2 2012;1;10920
T1 2012;1;10700
T4 2011;1;10460
T3 2011;1;10860
T2 2011;1;10660
T1 2011;1;9930
T4 2010;1;9510
T3 2010;1;9300
T2 2010;1;8910
T1 2010;1;8540
T4 2009;1;8390
T3 2009;1;8030
T2 2009;1;7980
T1 2009;1;8560
T4 2008;1;7900
T3 2008;1;8860
T2 2008;1;8220
T1 2008;1;8790
T4 2007;1;8310
T3 2007;1;7950
T2 2007;1;7330
T1 2007;1;7090
T4 2006;1;6930
T3 2006;1;7180
T2 2006;1;6960
T1 2006;1;6700
T4 2005;1;6610
T3 2005;1;6170
T2 2005;1;6150
T1 2005;1;6030
T4 2004;1;6510
T3 2004;1;6090
T2 2004;1;5690
T1 2004;1;5610
T4 2003;1;5100
T3 2003;1;4700
T2 2003;1;4750
T1 2003;1;4860
T4 2002;1;5010
T3 2002;1;4710
T2 2002;1;4210
T1 2002;1;3720
T4 2001;1;3940
T3 2001;1;4150
T2 2001;1;3930
T1 2001;1;3780
T4 2000;1;3500
T3 2000;1;3690
T2 2000;1;3900
T1 2000;1;3580
T4 1999;1;3370
T3 1999;1;3140
T2 1999;1;3410
T1 1999;1;3030
T4 1998;1;2900
T3 1998;1;2780
T2 1998;1;2580
T1 1998;1;3010
T4 1997;1;2880
T3 1997;1;2690
T2 1997;1;3010
T1 1997;1;2880
T4 1996;1;2960
T3 1996;1;3220
T2 1996;1;2720
T1 1996;1;3080
T4 1995;1;3760
T4 2025;2;11180
T3 2025;2;11310
T2 2025;2;10870
T1 2025;2;11400
T4 2024;2;11580
T3 2024;2;11420
T2 2024;2;11720
T1 2024;2;11760
T4 2023;2;11830
T3 2023;2;11650
T2 2023;2;12140
T1 2023;2;11810
T4 2022;2;12100
T3 2022;2;12040
T2 2022;2;12340
T1 2022;2;11970
T4 2021;2;11830
T3 2021;2;12440
T2 2021;2;12210
T1 2021;2;12010
T4 2020;2;12620
T3 2020;2;12510
T2 2020;2;12620
T1 2020;2;11830
T4 2019;2;11760
T3 2019;2;11180
T2 2019;2;11860
T1 2019;2;11570
T4 2018;2;11050
T3 2018;2;11360
T2 2018;2;11250
T1 2018;2;11120
T4 2017;2;10890
T3 2017;2;10590
T2 2017;2;10080
T1 2017;2;9830
T4 2016;2;9630
T3 2016;2;9920
T2 2016;2;9230
T1 2016;2;9670
T4 2015;2;9290
T3 2015;2;9560
T2 2015;2;9610
T1 2015;2;9450
T4 2014;2;9380
T3 2014;2;9190
T2 2014;2;10000
T1 2014;2;9620
T4 2013;2;9460
T3 2013;2;9700
T2 2013;2;9570
T1 2013;2;9760
T4 2012;2;9800
T3 2012;2;9250
T2 2012;2;9760
T1 2012;2;9130
T4 2011;2;9600
T3 2011;2;9430
T2 2011;2;9240
T1 2011;2;8700
T4 2010;2;8290
T3 2010;2;8010
T2 2010;2;7150
T1 2010;2;7210
T4 2009;2;6780
T3 2009;2;7150
T2 2009;2;6910
T1 2009;2;7500
T4 2008;2;7450
T3 2008;2;7360
T2 2008;2;7410
T1 2008;2;7020
T4 2007;2;7120
T3 2007;2;6770
T2 2007;2;6600
T1 2007;2;6450
T4 2006;2;6620
T3 2006;2;6520
T2 2006;2;6130
T1 2006;2;6210
T4 2005;2;5740
T3 2005;2;5700
T2 2005;2;5560
T1 2005;2;5440
T4 2004;2;5240
T3 2004;2;4970
T2 2004;2;4720
T1 2004;2;4650
