Column_Name,Data_Type,Non_Null_Count,Null_Count,Unique_Values,Sample_Value
X,float64,60845,0,39309,651791.048600003
Y,float64,60845,0,39306,6862991.778
OBJECTID,int64,60845,0,60845,1
c_ord,int64,60845,0,60845,1311
arro,int64,60845,0,20,1
qua,int64,60845,0,80,2
xbis,float64,60845,0,57947,651792.34559045
ybis,float64,60845,0,57942,6862995.56188898
num,int64,60845,0,407,25
typ_voie,str,60845,0,23,RUE
lib_voie,str,60845,0,2905,LOUVRE
seq,int64,60845,0,145,2
sit,str,60845,0,4,A
type,str,60845,0,3,C
codact,str,60845,0,194,CB107
ens,str,60844,1,42970,Y'S
bio,int64,60845,0,2,0
surf,int64,60845,0,3,1
cc_id,int64,60845,0,95,0
niv47,int64,60845,0,41,10301
niv18,int64,60845,0,12,103
niv8,int64,60845,0,6,3
niv2,int64,60845,0,1,1
Libellé activité (224 postes),str,60845,0,194,Prêt-à-porter Mixte
TYPE,str,60845,0,3,C
Libellé TYPE (local),str,60845,0,3,Commerce
Code activité 47 postes,int64,60845,0,41,10301
Libellé activité 47 postes,str,60845,0,41,Habillement
Code activité 18 postes,int64,60845,0,12,103
Libellé activité 18 postes,str,60845,0,12,Equipement de la personne
Code activité 8 postes,int64,60845,0,6,3
Libellé activité 8 postes),str,60845,0,7,Non Alimentaire
Code activité 2 postes,int64,60845,0,2,1
Libellé activité 2 postes,str,60845,0,2,Commerce et service commercial
