IRIS,LIBCOM,LIBIRIS,GRD_QUART,population
751010101,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 1,7510101,807.313387563944
751010201,Paris 1er Arrondissement,Les Halles 1,7510102,1675.02797417233
751010202,Paris 1er Arrondissement,Les Halles 2,7510102,1442.76675336217
751010203,Paris 1er Arrondissement,Les Halles 3,7510102,2048.71342362
751010204,Paris 1er Arrondissement,Les Halles 4,7510102,1974.95946338737
751010301,Paris 1er Arrondissement,Palais Royal 1,7510103,2425.01199699113
751010401,Paris 1er Arrondissement,Place Vendôme 1,7510104,946.223343686402
751020601,Paris 2e Arrondissement,Vivienne 1,7510206,1719.86313144575
751020701,Paris 2e Arrondissement,Mail 1,7510207,1537.92013733396
751020702,Paris 2e Arrondissement,Mail 2,7510207,1650.99393302933
751020703,Paris 2e Arrondissement,Mail 3,7510207,1920.83641441425
751020801,Paris 2e Arrondissement,Bonne Nouvelle 1,7510208,1965.58872485418
751020802,Paris 2e Arrondissement,Bonne Nouvelle 2,7510208,1635.40541856124
751020803,Paris 2e Arrondissement,Bonne Nouvelle 3,7510208,1508.76932783014
751020804,Paris 2e Arrondissement,Bonne Nouvelle 4,7510208,1607.75299046374
751020805,Paris 2e Arrondissement,Bonne Nouvelle 5,7510208,1775.00083607788
751030901,Paris 3e Arrondissement,Arts et Métiers 1,7510309,1580.25594432374
751030902,Paris 3e Arrondissement,Arts et Métiers 2,7510309,1490.23547617026
751030903,Paris 3e Arrondissement,Arts et Métiers 3,7510309,1581.91300338812
751030904,Paris 3e Arrondissement,Arts et Métiers 4,7510309,1408.549344673
751030905,Paris 3e Arrondissement,Arts et Métiers 5,7510309,1488.98268485144
751031001,Paris 3e Arrondissement,Enfants Rouges 1,7510310,2010.51273510389
751031002,Paris 3e Arrondissement,Enfants Rouges 2,7510310,1984.71172375564
751031003,Paris 3e Arrondissement,Enfants Rouges 3,7510310,1927.10917820131
751031004,Paris 3e Arrondissement,Enfants Rouges 4,7510310,1698.5647631793
751031101,Paris 3e Arrondissement,Les Archives 1,7510311,1862.80753233546
751031102,Paris 3e Arrondissement,Les Archives 2,7510311,1461.97390084459
751031103,Paris 3e Arrondissement,Les Archives 3,7510311,1367.35599985095
751031104,Paris 3e Arrondissement,Les Archives 4,7510311,2270.6995301563
751031201,Paris 3e Arrondissement,Sainte-Avoye 1,7510312,1572.14217067369
751031202,Paris 3e Arrondissement,Sainte-Avoye 2,7510312,1625.17388095865
751031203,Paris 3e Arrondissement,Sainte-Avoye 3,7510312,1547.35671600913
751031204,Paris 3e Arrondissement,Sainte-Avoye 4,7510312,1841.36294070079
751041301,Paris 4e Arrondissement,Saint-Merri 1,7510413,1617.98872108552
751041302,Paris 4e Arrondissement,Saint-Merri 2,7510413,2072.3483667144
751041303,Paris 4e Arrondissement,Saint-Merri 3,7510413,1620.04521816676
751041401,Paris 4e Arrondissement,Saint-Gervais 1,7510414,2944.08141876955
751041402,Paris 4e Arrondissement,Saint-Gervais 2,7510414,1951.37637175381
751041403,Paris 4e Arrondissement,Saint-Gervais 3,7510414,2224.20441857384
751041404,Paris 4e Arrondissement,Saint-Gervais 4,7510414,1512.52865291669
751041501,Paris 4e Arrondissement,Arsenal 1,7510415,3099.33266544183
