name,address,arrondissement,code_insee,annee_scolaire,type,lat,lng
BRUXELLES (32) POLY,32 RUE DE BRUXELLES,9ème Ardt,75109,2026-2027,Polyvalent,48.882999745994724,2.3288013997792945
RENAUDES (31) MAT,31 RENAUDES (31) MAT,17ème Ardt,75117,2026-2027,Maternelle,48.880698602550176,2.2977207615324162
FRANCOISE DORLEAC (2) MAT,2 FRANCOISE DORLEAC (2) MAT,18ème Ardt,75118,2026-2027,Maternelle,48.8993899007631,2.337452792317367
DUSSOUBS (42) POLY,42 RUE DUSSOUBS,2ème Ardt,75102,2026-2027,Polyvalent,48.86716386802309,2.3496943647589115
ST MERRI (11) POLY,11 RUE SAINT MERRI,4ème Ardt,75104,2026-2027,Polyvalent,48.8593047674744,2.352953080890981
MOUFFETARD (29) MAT,29 RUE MOUFFETARD,5ème Ardt,75105,2026-2027,Maternelle,48.843986620495215,2.3494204485428423
ST GERMAIN L'AUXERROIS (6) MAT,6 RUE ST GERMAIN L'AUXERROIS,1er Ardt,75101,2026-2027,Maternelle,48.85821794704413,2.345386713065591
VANEAU (48) MAT,48 RUE VANEAU,7ème Ardt,75107,2026-2027,Maternelle,48.85120382889964,2.3191643703035774
CHAPON (25) MAT,25 RUE CHAPON,3ème Ardt,75103,2026-2027,Maternelle,48.86362012574478,2.3551721155360243
LOUIS VIERNE (6) MAT,6 LOUIS VIERNE (6) MAT,17ème Ardt,75117,2026-2027,Maternelle,48.888124404729375,2.290018854657438
LACHAMBEAUDIE (2) MAT,2 LACHAMBEAUDIE (2) MAT,12ème Ardt,75112,2026-2027,Maternelle,48.835561932249675,2.3863978230518272
PICPUS (45) MAT,45 PICPUS (45) MAT,12ème Ardt,75112,2026-2027,Maternelle,48.843464817594764,2.396969894674865
PIERRE FONCIN (4) POLY B,4 PIERRE FONCIN (4) POLY B,20ème Ardt,75120,2026-2027,Polyvalent,48.87134728251425,2.4093898611624813
JEANNE D'ARC (96) MAT,96 JEANNE D'ARC (96) MAT,13ème Ardt,75113,2026-2027,Maternelle,48.833702957209915,2.363384060953663
POINTE D'IVRY (17-35) MAT,17 POINTE D'IVRY (17-35) MAT,13ème Ardt,75113,2026-2027,Maternelle,48.82251676056329,2.3642791869269337
